name	glocal	t_coffee	mafft	clustalw	
22s46.aln	89.605736	89.605736	88.17204	95.69892	
BB12025.aln	64.05343	61.207897	76.82927	56.27178	
10s8.aln	91.12554	92.64069	91.12554	90.25974	
46.aln	84.05797	33.333332	31.884058	32.971016	
22t54.aln	58.139534	63.178295	59.302326	62.7907	
57t5.aln	68.05556	79.166664	78.00926	75.0	
12s19.aln	100.0	100.0	100.0	100.0	
12s58.aln	100.0	100.0	100.0	100.0	
BB11025.aln	73.98081	45.803356	45.56355	50.119904	
669.aln	95.90643	97.07603	91.22807	96.49123	
82s3.aln	90.13333	92.8	90.13333	89.6	
99.aln	94.86215	85.71429	85.08772	84.08521	
23.aln	87.5	87.5	87.5	87.5	
12t118.aln	73.92473	66.935486	66.39785	50.403225	
134t3.aln	98.96641	91.21447	96.89922	98.96641	
35s0.aln	97.508896	97.86477	97.508896	98.576515	
BB11021.aln	NaN	43.142857	43.333332	48.095238	
22t46.aln	79.411766	71.56863	71.56863	70.588234	
57t4.aln	95.03205	85.73718	86.61859	90.38461	
BB11001.aln	90.625	88.19444	86.63194	94.09722	
130t2.aln	100.0	93.93939	98.48485	98.48485	
12t82.aln	99.346405	98.69281	99.346405	99.346405	
30t1.aln	99.06542	97.19626	99.06542	98.130844	
104s13.aln	100.0	100.0	100.0	100.0	
25.aln	3.8888888	23.88889	20.0	3.8888888	
89.aln	75.568184	84.280304	73.295456	72.53788	
581s5.aln	99.31507	98.858444	100.0	100.0	
99t1.aln	90.97744	93.48371	91.4787	94.48621	
49.aln	50.980392	29.971989	28.991596	37.114845	
66t4.aln	46.448086	69.672134	60.382515	59.699455	
581s14.aln	NaN	86.853935	88.53933	89.10112	
75t2.aln	72.5641	74.35897	70.76923	78.20513	
89s1.aln	62.452106	69.348656	66.666664	69.348656	
85s2.aln	98.62543	97.25086	97.25086	98.62543	
78t5.aln	97.82135	97.82135	98.25708	99.12854	
587.aln	95.180725	92.36948	93.574295	95.180725	
22s56.aln	42.901234	49.537037	45.679012	47.993828	
52t1.aln	97.05882	97.05882	96.07843	100.0	
655.aln	94.128784	91.09849	92.42424	91.28788	
74s2.aln	95.408165	96.08843	95.57823	97.61905	
BB12020.aln	83.68794	86.64303	87.706856	84.98818	
30t2.aln	100.0	100.0	100.0	100.0	
134t2.aln	100.0	99.45355	100.0	100.0	
82s4.aln	91.791046	93.283585	92.537315	92.0398	
34s1.aln	96.969696	98.48485	98.48485	100.0	
24t7.aln	81.09244	85.85434	83.893555	89.77591	
82s2.aln	89.31298	92.36641	88.80407	90.33079	
24s3.aln	99.0	98.0	98.0	98.0	
127.aln	72.576836	78.95981	78.487	80.141846	
112.aln	72.76995	86.38498	87.79343	78.87324	
641t2.aln	94.03509	95.789474	96.49123	90.17544	
12s71.aln	98.89807	98.89807	98.62259	98.89807	
82s5.aln	81.12745	81.004906	79.166664	80.39216	
75.aln	NaN	72.40964	66.14458	79.39759	
12s81.aln	100.0	99.53704	100.0	100.0	
573.aln	95.652176	95.652176	95.652176	97.10145	
92s2.aln	98.79032	95.16129	95.16129	94.758064	
62.aln	62.92135	71.91011	74.906364	64.41948	
BB11009.aln	88.613014	86.4726	92.608444	88.5274	
22t59.aln	50.515465	57.73196	40.549828	39.003437	
12s64.aln	98.0	99.2	96.8	97.6	
BB11029.aln	76.93089	56.808945	55.182926	57.113823	
24t5.aln	100.0	99.18699	99.18699	100.0	
22s54.aln	73.87387	44.144146	47.74775	47.74775	
22s24.aln	98.69281	99.346405	99.346405	99.346405	
43s3.aln	99.731186	99.731186	99.731186	100.0	
130t3.aln	87.79343	83.56808	80.751175	82.629105	
108.aln	100.0	64.757706	59.765053	59.765053	
120.aln	91.57895	91.929825	95.08772	92.45614	
12s70.aln	95.97701	95.68965	97.70115	96.83908	
119.aln	98.879555	65.82633	56.30252	53.5014	
12s57.aln	98.373985	98.91599	96.74797	96.74797	
120s1.aln	94.265236	93.548386	97.49104	94.98208	
22s44.aln	81.0	88.666664	81.0	83.333336	
12s80.aln	NaN	98.695656	99.13043	97.82609	
22t43.aln	94.93671	94.93671	94.93671	94.93671	
118s1.aln	100.0	93.93939	93.93939	100.0	
85t3.aln	98.96907	96.90722	96.90722	98.96907	
86s8.aln	100.0	100.0	100.0	100.0	
4t2.aln	99.242424	98.48485	99.242424	99.242424	
24t6.aln	98.0	99.333336	98.666664	98.666664	
581s10.aln	86.70412	85.76779	87.64045	87.82771	
