name	glocal	t_coffee	mafft	clustalw	
22s46.aln	6.096774	0.4139785	0.4784946	0.13978495	
BB12025.aln	9.63763	11.60453	8.998259	88.67944	
10s8.aln	16.506493	0.24025974	0.26948053	0.29545453	
46.aln	2.673913	10.22826	22.108696	13.081521	
22t54.aln	2.1104653	1.877907	2.1453488	2.0348837	
57t5.aln	114.81423	5.3402777	5.8090277	7.6371527	
12s19.aln	0.0	0.0	0.0	0.0	
12s58.aln	0.0	0.0	0.0	0.0	
BB11025.aln	30.730217	47.7518	77.26259	41.568344	
669.aln	13.236842	0.1754386	0.5614035	0.21052632	
82s3.aln	0.40800002	0.32000002	0.296	0.40800002	
99.aln	55.30827	4.1165414	4.3458643	4.5112786	
23.aln	0.8984375	0.1328125	0.1328125	0.1328125	
12t118.aln	98.008064	4.467742	9.322581	20.58871	
134t3.aln	0.031007752	0.2635659	0.093023255	0.031007752	
35s0.aln	0.07829182	0.06761566	0.07829182	0.0569395	
BB11021.aln	NaN	90.468575	89.42571	63.58	
22t46.aln	4.3333335	0.27941176	0.27941176	0.28921568	
57t4.aln	35.57692	11.117787	12.201922	1.564904	
BB11001.aln	12.020833	3.0624998	3.3593752	0.7864584	
130t2.aln	0.0	0.27272728	0.045454547	0.045454547	
12t82.aln	0.11764706	0.13725491	0.11764706	0.11764706	
30t1.aln	0.009345794	0.028037382	0.009345794	0.028037382	
104s13.aln	0.0	0.0	0.0	0.0	
25.aln	54.875	11.838889	13.505555	15.141666	
89.aln	52.903408	1.8181816	3.9999998	4.420454	
581s5.aln	2.7876713	0.09589041	0.0	0.0	
99t1.aln	0.46616542	0.33082706	0.39097744	0.34586465	
49.aln	82.66387	10.640757	18.670168	18.090336	
66t4.aln	173.05737	8.881147	14.680327	9.590164	
581s14.aln	NaN	3.1797752	3.0561795	2.9887638	
75t2.aln	7.9846153	2.2923076	2.6307693	2.2461538	
89s1.aln	37.850574	1.7931035	1.7528737	1.7413793	
85s2.aln	0.041237112	0.12371134	0.12371134	0.041237112	
78t5.aln	0.06535948	0.09150327	0.078431375	0.026143791	
587.aln	0.45783132	0.9879519	0.8915663	0.45783132	
22s56.aln	11.87037	12.398149	14.231482	15.208334	
52t1.aln	0.0882353	0.14705883	0.14705883	0.0	
655.aln	3.005682	0.9090909	0.6761364	0.7443182	
74s2.aln	2.0561225	0.13010204	0.14540817	0.091836736	
BB12020.aln	6.3510637	1.2943262	1.1950355	1.1808511	
30t2.aln	0.0	0.0	0.0	0.0	
134t2.aln	0.0	0.016393442	0.0	0.0	
82s4.aln	3.5298505	0.67164177	1.0074626	0.90671635	
34s1.aln	0.09090909	0.045454547	0.045454547	0.0	
24t7.aln	3.0630252	2.0756304	2.764706	2.3361344	
82s2.aln	0.740458	0.41221374	0.77862597	0.57251906	
24s3.aln	2.92	0.02	0.02	0.02	
127.aln	36.21986	3.460993	3.8900707	3.8085108	
112.aln	2.2535212	0.943662	1.0140845	1.915493	
641t2.aln	1.9052632	0.2631579	0.35789475	1.5578947	
12s71.aln	0.27272725	0.19008265	0.3140496	0.29752064	
82s5.aln	3.577206	1.6875	2.022059	2.1360295	
75.aln	NaN	3.8373497	6.897591	3.6867466	
12s81.aln	0.0	0.027777778	0.0	0.0	
573.aln	0.26086956	0.26086956	0.26086956	0.17391305	
92s2.aln	32.487904	2.1290321	2.1290321	2.3225806	
62.aln	13.960674	5.2134833	3.0561798	13.123595	
BB11009.aln	16.708904	13.142123	1.1018836	162.34247	
22t59.aln	10.14433	48.448456	10.922681	19.603092	
12s64.aln	0.3	0.048	0.192	0.144	
BB11029.aln	43.762196	36.71646	37.78354	44.17988	
24t5.aln	0.0	0.008130081	0.008130081	0.0	
22s54.aln	1.8918918	3.7117116	3.445946	1.472973	
22s24.aln	0.23529412	0.15686275	0.15686275	0.15686275	
43s3.aln	0.008064516	0.008064516	0.008064516	0.0	
130t3.aln	2.1056337	0.5915493	0.73239434	0.6760563	
108.aln	0.0	9.022027	9.444934	9.339207	
120.aln	14.621053	0.6315789	0.33684212	0.5473684	
12s70.aln	0.11637931	0.13793103	0.08189655	0.112068966	
119.aln	55.7563	9.842437	11.420168	5.1722693	
12s57.aln	0.048780486	0.032520324	0.2398374	0.09756097	
120s1.aln	3.5860214	0.24731183	0.07526882	0.15053764	
22s44.aln	4.6800003	0.6	1.255	1.345	
12s80.aln	NaN	0.07826087	0.052173913	0.13043478	
22t43.aln	0.8607595	0.050632913	0.050632913	0.050632913	
118s1.aln	0.0	0.18181819	0.18181819	0.0	
85t3.aln	0.061855666	0.22680412	0.22680412	0.061855666	
86s8.aln	0.0	0.0	0.0	0.0	
4t2.aln	0.09090909	0.18181819	0.13636364	0.13636364	
24t6.aln	3.84	0.02	0.04	0.04	
581s10.aln	9.41573	2.235955	2.0	1.988764	
