name	glocal	t_coffee	mafft	clustalw	localEndCount
22s54	557	948	218	17	2
30t1	837	998	195	25	2
24t6	6619	908	172	29	1
12s19	13377	946	181	23	3
12s57	13818	917	164	40	2
24t5	704	969	162	42	4
24s3	650	988	167	46	4
573	46429	1034	165	33	0
57t5	129518	882	182	63	3
22t59	399250	1109	216	20	0
74s2	612221	1217	190	114	4
75t2	640581	1083	171	21	6
587	789293	991	163	36	4
22s56	450650	888	168	32	0
25	598	749	159	22	2
641t2	7686	835	156	64	3
581s5	1117729	1023	278	19	5
52t1	11617	982	166	24	1
BB11008	NaN	1196	255	96	5
89	1409944	804	154	19	6
49	104255	1139	191	34	4
85t3	1640854	914	153	29	3
BB11010	NaN	1790	538	232	6
34s1	2792	822	155	16	0
43s3	138859	831	156	42	2
99	3701002	1057	233	29	2
12s58	3266760	808	159	29	3
22s46	6792	1019	171	24	3
12t118	5007352	921	180	22	6
66t4	2853975	853	159	19	2
BB11037	NaN	1934	884	357	8
BB11003	NaN	1500	317	194	6
86s8	5810	1038	145	16	1
10s8	36912	861	156	28	4
89s1	6165	865	151	14	4
82s2	18332	858	155	23	2
12s81	2546692	866	153	22	3
82s4	7977364	1125	215	31	3
BB11029	5475588	875	163	20	6
4t2	2407264	892	151	18	5
655	3150085	836	154	20	6
85s2	4534	885	155	21	1
62	1463944	850	154	21	5
22t43	523	1563	158	14	2
22t46	556	3415	151	14	2
22t54	1824	795	157	23	0
12s70	11415	5062	178	49	3
22s44	10891	844	150	16	4
581s10	1655508	4393	168	57	5
BB11021	9938913	927	177	26	6
78t5	37046	2159	153	24	3
46	5522	837	151	15	4
99t1	6606	811	157	20	3
82s5	8430520	850	156	31	5
BB11025	2413163	2463	156	16	6
BB11015	NaN	1096	257	87	5
12s64	5038075	838	160	40	3
23	475	820	148	15	2
22s24	6294	1064	157	22	2
82s3	17828	857	149	20	2
BB12020	8112049	895	162	27	4
35s0	1191	936	161	35	4
30t2	30775	882	164	47	0
BB11001	2998243	931	151	19	6
BB11017	NaN	1115	199	75	6
581s14	NaN	1141	157	20	6
BB11012	NaN	1278	262	159	5
BB11035	NaN	851	172	33	8
669	253012	862	197	22	3
BB11004	NaN	2253	320	163	6
104s13	277965	834	158	19	0
108	36427	876	159	27	2
12s80	NaN	920	154	26	3
134t2	7967	852	155	21	1
112	21294	883	158	21	2
BB11024	NaN	1450	383	168	6
130t2	9099	854	147	62	4
127	19921	851	155	19	4
119	77695	931	200	33	3
120s1	10303	846	187	21	4
130t3	5300	1073	181	19	4
12t82	7201	838	153	25	2
24t7	3622727	786	154	19	3
118s1	4329	979	161	16	4
134t3	10038	830	156	34	2
120	4022031	853	152	18	5
92s2	5249650	863	160	47	3
12s71	4004651	865	159	24	3
BB12025	47669607	1099	191	42	4
57t4	59331733	949	162	40	6
BB11009	64646517	978	193	48	6
